Nom du Médicament,URL,Image URL,Age minimal d'utilisation,Allaitement,Boîte,Classe thérapeutique,Code ATC,Composition,Conservation,Contres-indication(s),Convention de Vienne,Distributeur ou fabriquant,Dosage,Effets indésirable,Grossesse,Indication(s),Laboratoire détenteur de l'AMM dans le pays d'origine,Lien du Produit,Mises en garde,Nature du Produit,Notice en arabe,Notice en français,PPC,PPV,Particularité,Posologies et mode d'administration,Princeps,Prix hospitalier,Présentation,RCP,Risque potentiel de dépendance ou d’abus,Statut,Substance (s) psychoactive (s),Tableau,Tiers Payant
,https://medicament.ma/medicament/coversyl-10-mg-comprime-pellicule/,,,,,Antihypertenseur de la famille des inhibiteurs de l'enzyme de conversion,C09AA04,Périndopril,,,,SERVIER MAROC (https://medicament.ma/laboratoire/servier-maroc/),10 MG,,,Hypertension | Traitement de l’hypertension artérielle. | Maladie coronaire stable | Réduction du risque d’évènements cardiaques chez les patients ayant un antécédent d’infarctus du myocarde et/ou de revascularisation.,,,,Médicament,,,,142.70 dhs,,,Oui,89.20 dhs,Boîte de 30,,,Commercialisé,,A,
,https://medicament.ma/medicament/coversyl-5-mg-comprime-pellicule-secable/,,,,,Antihypertenseur de la famille des inhibiteurs de l'enzyme de conversion,C09AA04,Périndopril arginine,,,,SERVIER MAROC (https://medicament.ma/laboratoire/servier-maroc/),5 MG,,,Hypertension | Traitement de l’hypertension artérielle. | Maladie coronaire stable | Réduction du risque d’évènements cardiaques chez les patients ayant un antécédent d’infarctus du myocarde et/ou de revascularisation.,,,,Médicament,,,,92.00 dhs,,,Oui,57.50 dhs,Boîte de 30,,,Commercialisé,,A,
,https://medicament.ma/medicament/creon-10-000-u-gelule-contenant-des-microspheres-gastro-resistantes/,,,,,ENZYMOTHERAPIE SUBSTITUTIVE,A09AA02,Pancréatine,,,,MAPHAR (https://medicament.ma/laboratoire/maphar/),10 000 U,,,"Traitement de l'insuffisance pancréatique exocrine de l'adulte et de l'enfant au cours : | · de la mucoviscidose ; | · de la pancréatite chronique documentée (notamment par l'existence de calcifications pancréatiques), en présence d'une stéatorrhée > 6 g/24 h ; | · des résections pancréatiques céphaliques ou totales.",ABOTT,,,,,,,121.70 dhs,,,,76.10 dhs,Flacon de 50,,,Commercialisé,,A,
,https://medicament.ma/medicament/creon-25-000-u-gelule-contenant-des-microspheres-gastro-resistantes/,,,,,ENZYMOTHERAPIE SUBSTITUTIVE,A09AA02,Pancréatine,,,,MAPHAR (https://medicament.ma/laboratoire/maphar/),25 000 U,,,"Traitement de l'insuffisance pancréatique exocrine de l'adulte et de l'enfant au cours : | · de la mucoviscidose ; | · de la pancréatite chronique documentée (notamment par l'existence de calcifications pancréatiques), en présence d'une stéatorrhée > 6 g/24 h ; | · des résections pancréatiques céphaliques ou totales.",ABOTT,,,,,,,223.00 dhs,,,,139.40 dhs,Flacon de 50,,,Commercialisé,,A,
,https://medicament.ma/medicament/cresemba-100-mg-gelule/,,,,,"Antimycosiques à usage systémique, dérivés triazolés",J02AC05,Isavuconazonium,,,,PROMOPHARM (HIKMA) (https://medicament.ma/laboratoire/promopharm-s-a/),100 MG,,,"CRESEMBA est indiqué, chez l’adulte dans le traitement de: | • l’aspergillose invasive ; | • la mucormycose chez les patients pour lesquels le traitement par l’amphotéricine B est | inapproprié. | Il est conseillé de se reporter aux recommandations officielles concernant l’utilisation appropriée des | agents antifongiques.",,,,,,,,6359.00 dhs,,,Oui,6134.00 dhs,Boite de 14,,,Commercialisé,,A,
,https://medicament.ma/medicament/cresemba-200-mg-poudre-pour-solution-a-diluer/,,,,,"Antimycosiques à usage systémique, dérivés triazolés",J02AC05,Isavuconazonium,,,,PROMOPHARM (HIKMA) (https://medicament.ma/laboratoire/promopharm-s-a/),200 MG,,,"CRESEMBA est indiqué, chez l’adulte dans le traitement de: | • l’aspergillose invasive ; | • la mucormycose chez les patients pour lesquels le traitement par l’amphotéricine B est | inapproprié. | Il est conseillé de se reporter aux recommandations officielles concernant l’utilisation appropriée des | agents antifongiques.",,,,,,,,3891.00 dhs,,,,3594.00 dhs,10 ML,,,Commercialisé,,A,
,https://medicament.ma/medicament/crestor-10-mg-comprime-pellicule/,,,,,"Hypolipémiant, inhibiteur de la HMG-CoA réductase",C10AA07,Rosuvastatine,,,,MAPHAR (https://medicament.ma/laboratoire/maphar/),10 MG,,,"Adultes | Traitement de l'hypercholestérolémie | Hypercholestérolémie primaire (type IIa incluant les hypercholestérolémies familiales hétérozygotes) ou dyslipidémies mixtes (type IIb), en complément d'un régime lorsque la réponse au régime et aux autres traitements non pharmacologiques n'est pas suffisante. | En cas d'hypercholestérolémie familiale homozygote, en complément d'un régime et d'autres mesures à but hypolipémiant ou lorsque ces mesures ne sont pas appropriées. | Prévention des complications cardio-vasculaires | Rosuvastatine est utilisée pour réduire le risque d'événements cardio-vasculaires sévères chez les patients adultes présentant un taux normal de LDL-cholestérol, mais dont le risque de maladies cardio-vasculaires athéroscléreuses est accru en raison de l'âge (hommes ≥50 ans, femmes ≥60 ans), d'un taux accru de hsCRP (≥2,0 mg/l) et au moins d'un autre facteur de risque cardio-vasculaire tel qu'hypertension, tabagisme, faible taux de HDL-C ou antécédent familial de cardiopathie coronarienne prématurée. | Chez les patients hypercholestérolémiques, il est nécessaire de surveiller les valeurs lipidiques et de respecter les recommandations posologiques ci-dessous. Il est en outre nécessaire de traiter les autres causes connues de morbi-mortalité cardio-vasculaire conformément aux directives applicables. | Enfants et adolescents de 10 à 17 ans | Garçons et filles (au moins un an après la ménarche) souffrant d'hypercholestérolémie familiale hétérozygote, en complément d'un régime alimentaire, lorsque la réponse au régime et aux autres mesures non pharmacologiques (p.ex. exercice physique, perte de poids) reste insuffisante.",,,,Médicament,,,,167.00 dhs,,,Oui,104.40 dhs,Boîte de 30,,,Commercialisé,,A,
,https://medicament.ma/medicament/crestor-20-mg-comprime-pellicule/,,,,,"Hypolipémiant, inhibiteur de la HMG-CoA réductase",C10AA07,Rosuvastatine,,,,MAPHAR (https://medicament.ma/laboratoire/maphar/),20 MG,,,"Adultes | Traitement de l'hypercholestérolémie | Hypercholestérolémie primaire (type IIa incluant les hypercholestérolémies familiales hétérozygotes) ou dyslipidémies mixtes (type IIb), en complément d'un régime lorsque la réponse au régime et aux autres traitements non pharmacologiques n'est pas suffisante. | En cas d'hypercholestérolémie familiale homozygote, en complément d'un régime et d'autres mesures à but hypolipémiant ou lorsque ces mesures ne sont pas appropriées. | Prévention des complications cardio-vasculaires | Rosuvastatine est utilisée pour réduire le risque d'événements cardio-vasculaires sévères chez les patients adultes présentant un taux normal de LDL-cholestérol, mais dont le risque de maladies cardio-vasculaires athéroscléreuses est accru en raison de l'âge (hommes ≥50 ans, femmes ≥60 ans), d'un taux accru de hsCRP (≥2,0 mg/l) et au moins d'un autre facteur de risque cardio-vasculaire tel qu'hypertension, tabagisme, faible taux de HDL-C ou antécédent familial de cardiopathie coronarienne prématurée. | Chez les patients hypercholestérolémiques, il est nécessaire de surveiller les valeurs lipidiques et de respecter les recommandations posologiques ci-dessous. Il est en outre nécessaire de traiter les autres causes connues de morbi-mortalité cardio-vasculaire conformément aux directives applicables. | Enfants et adolescents de 10 à 17 ans | Garçons et filles (au moins un an après la ménarche) souffrant d'hypercholestérolémie familiale hétérozygote, en complément d'un régime alimentaire, lorsque la réponse au régime et aux autres mesures non pharmacologiques (p.ex. exercice physique, perte de poids) reste insuffisante.",,,,Médicament,,,,250.00 dhs,,,Oui,156.40 dhs,Boîte de 30,,,Commercialisé,,A,
,https://medicament.ma/medicament/crestor-5-mg-comprime/,,,,,"Hypolipémiant, inhibiteur de la HMG-CoA réductase",C10AA07,Rosuvastatine,,,,MAPHAR (https://medicament.ma/laboratoire/maphar/),5 MG,,,"Adultes | Traitement de l'hypercholestérolémie | Hypercholestérolémie primaire (type IIa incluant les hypercholestérolémies familiales hétérozygotes) ou dyslipidémies mixtes (type IIb), en complément d'un régime lorsque la réponse au régime et aux autres traitements non pharmacologiques n'est pas suffisante. | En cas d'hypercholestérolémie familiale homozygote, en complément d'un régime et d'autres mesures à but hypolipémiant ou lorsque ces mesures ne sont pas appropriées. | Prévention des complications cardio-vasculaires | Rosuvastatine est utilisée pour réduire le risque d'événements cardio-vasculaires sévères chez les patients adultes présentant un taux normal de LDL-cholestérol, mais dont le risque de maladies cardio-vasculaires athéroscléreuses est accru en raison de l'âge (hommes ≥50 ans, femmes ≥60 ans), d'un taux accru de hsCRP (≥2,0 mg/l) et au moins d'un autre facteur de risque cardio-vasculaire tel qu'hypertension, tabagisme, faible taux de HDL-C ou antécédent familial de cardiopathie coronarienne prématurée. | Chez les patients hypercholestérolémiques, il est nécessaire de surveiller les valeurs lipidiques et de respecter les recommandations posologiques ci-dessous. Il est en outre nécessaire de traiter les autres causes connues de morbi-mortalité cardio-vasculaire conformément aux directives applicables. | Enfants et adolescents de 10 à 17 ans | Garçons et filles (au moins un an après la ménarche) souffrant d'hypercholestérolémie familiale hétérozygote, en complément d'un régime alimentaire, lorsque la réponse au régime et aux autres mesures non pharmacologiques (p.ex. exercice physique, perte de poids) reste insuffisante.",,,,Médicament,,,,114.10 dhs,,,Oui,71.30 dhs,Boite de 30,,,Commercialisé,,A,
,https://medicament.ma/medicament/cristal-nour-suppositoire/,,,,,Laxatif,A06AX01,Glycerol,,,,COOPER PHARMA (https://medicament.ma/laboratoire/cooper-maroc/),,,,Constipations,,,,Médicament,,,,8.40 dhs,,,,5.30 dhs,Boîte de 10,,,Commercialisé,,Aucun,
