Drug Name,Price (Dhs),Usage
Atorvastatine,57.8,"- Hypercholestérolémie ; L’ATORVASTATINE est indiquée en complément d’un régime pour réduire les taux élevés de cholestérol total (Chol-T), de LDL-cholestérol (LDL-C), d’apolipoprotéine B et de triglycérides chez les adultes, adolescents et enfants âgés de 10 ans ou plus présentant une hypercholestérolémie primaire incluant l’hypercholestérolémie familiale (hétérozygote) ou les hyperlipidémies mixtes (correspondant aux types IIa et IIb de la classification de Fredrickson), lorsque la réponse à un régime ou à d’autres traitements non pharmacologiques n’est pas suffisante. ; L’ATORVASTATINE est aussi indiquée pour réduire les taux de Chol-T et de LDL-C chez les adultes présentant une hypercholestérolémie familiale homozygote en complément d’autres traitements hypolipidémiants (notamment l’aphérèse des LDL) ou si de tels traitements sont indisponibles. ; - Prévention des maladies cardiovasculaires ; Prévention des évènements cardiovasculaires chez les patients adultes ayant un risque élevé de présenter un premier événement cardiovasculaire, en complément de la correction des autres facteurs de risque."
Avepro,84.0,"L’irbersartan est indiqué chez l’adulte dans le traitement de l’ hypertension artérielle essentielle. Il est également indiqué dans le traitement de l’atteinte rénale chez les patients adultes hypertendus diabétiques de type 2, dans le cadre de la prise en charge par un médicament antihypertenseur."
Avepro Comprime,150.0,"L’irbersartan est indiqué chez l’adulte dans le traitement de l’ hypertension artérielle essentielle. Il est également indiqué dans le traitement de l’atteinte rénale chez les patients adultes hypertendus diabétiques de type 2, dans le cadre de la prise en charge par un médicament antihypertenseur."
Coversyl 10 Mg Comprime Pellicule,142.7,Hypertension ; Traitement de l’hypertension artérielle. ; Maladie coronaire stable ; Réduction du risque d’évènements cardiaques chez les patients ayant un antécédent d’infarctus du myocarde et/ou de revascularisation.
Coversyl 5 Mg Comprime Pellicule Secable,92.0,Hypertension ; Traitement de l’hypertension artérielle. ; Maladie coronaire stable ; Réduction du risque d’évènements cardiaques chez les patients ayant un antécédent d’infarctus du myocarde et/ou de revascularisation.
Creon 10 000 U Gelule Contenant Des Microspheres Gastro Resistantes,121.7,"Traitement de l'insuffisance pancréatique exocrine de l'adulte et de l'enfant au cours : ; · de la mucoviscidose ; ; · de la pancréatite chronique documentée (notamment par l'existence de calcifications pancréatiques), en présence d'une stéatorrhée > 6 g/24 h ; ; · des résections pancréatiques céphaliques ou totales."
Creon 25 000 U Gelule Contenant Des Microspheres Gastro Resistantes,223.0,"Traitement de l'insuffisance pancréatique exocrine de l'adulte et de l'enfant au cours : ; · de la mucoviscidose ; ; · de la pancréatite chronique documentée (notamment par l'existence de calcifications pancréatiques), en présence d'une stéatorrhée > 6 g/24 h ; ; · des résections pancréatiques céphaliques ou totales."
Cresemba 100 Mg Gelule,6359.0,"CRESEMBA est indiqué, chez l’adulte dans le traitement de: ; • l’aspergillose invasive ; ; • la mucormycose chez les patients pour lesquels le traitement par l’amphotéricine B est ; inapproprié. ; Il est conseillé de se reporter aux recommandations officielles concernant l’utilisation appropriée des ; agents antifongiques."
Cresemba 200 Mg Poudre Pour Solution A Diluer,3891.0,"CRESEMBA est indiqué, chez l’adulte dans le traitement de: ; • l’aspergillose invasive ; ; • la mucormycose chez les patients pour lesquels le traitement par l’amphotéricine B est ; inapproprié. ; Il est conseillé de se reporter aux recommandations officielles concernant l’utilisation appropriée des ; agents antifongiques."
Crestor 10 Mg Comprime Pellicule,167.0,"Adultes ; Traitement de l'hypercholestérolémie ; Hypercholestérolémie primaire (type IIa incluant les hypercholestérolémies familiales hétérozygotes) ou dyslipidémies mixtes (type IIb), en complément d'un régime lorsque la réponse au régime et aux autres traitements non pharmacologiques n'est pas suffisante. ; En cas d'hypercholestérolémie familiale homozygote, en complément d'un régime et d'autres mesures à but hypolipémiant ou lorsque ces mesures ne sont pas appropriées. ; Prévention des complications cardio-vasculaires ; Rosuvastatine est utilisée pour réduire le risque d'événements cardio-vasculaires sévères chez les patients adultes présentant un taux normal de LDL-cholestérol, mais dont le risque de maladies cardio-vasculaires athéroscléreuses est accru en raison de l'âge (hommes ≥50 ans, femmes ≥60 ans), d'un taux accru de hsCRP (≥2,0 mg/l) et au moins d'un autre facteur de risque cardio-vasculaire tel qu'hypertension, tabagisme, faible taux de HDL-C ou antécédent familial de cardiopathie coronarienne prématurée. ; Chez les patients hypercholestérolémiques, il est nécessaire de surveiller les valeurs lipidiques et de respecter les recommandations posologiques ci-dessous. Il est en outre nécessaire de traiter les autres causes connues de morbi-mortalité cardio-vasculaire conformément aux directives applicables. ; Enfants et adolescents de 10 à 17 ans ; Garçons et filles (au moins un an après la ménarche) souffrant d'hypercholestérolémie familiale hétérozygote, en complément d'un régime alimentaire, lorsque la réponse au régime et aux autres mesures non pharmacologiques (p.ex. exercice physique, perte de poids) reste insuffisante."
